G,NO,店舗,店舗名,部門,品種,品目,セグメント,分類名,ＪＡＮ,品名,客数,点数,原価,売上,粗利,粗利率%,ﾒｰｶｺｰﾄﾞ,メーカ名
1,1,0,,0,0,0,0,,,◆合計,73549,90350,17097471,21955429,4857958,22.13,0,
0,2,0,,1,1,1,1,医薬品／ドリンク／医薬部外品／１本売り,4954097858159,ビタセットα　１００ｍｌ,6,6,167,588,421,71.6,505,廣貫堂
0,3,0,,1,1,1,1,医薬品／ドリンク／医薬部外品／１本売り,4987067239900,キューピーコーワαドリンク　１００ｍＬ,6,9,720,1332,612,45.95,1090,興和
0,4,0,,1,1,1,1,医薬品／ドリンク／医薬部外品／１本売り,4987067255405,キューピーコーワｉドリンク　１００ｍＬ,13,14,1120,2072,952,45.95,1090,興和
0,5,0,,1,1,1,1,医薬品／ドリンク／医薬部外品／１本売り,4987067284306,キューピーコーワαＺＥＲＯドリンク　１００ｍＬ,2,2,160,296,136,45.95,1090,興和
0,6,0,,1,1,1,1,医薬品／ドリンク／医薬部外品／１本売り,4987117438710,チオビタドリンク　１本,6,6,348,888,540,60.81,950,大鵬薬品工業
0,7,0,,1,1,1,1,医薬品／ドリンク／医薬部外品／１本売り,4987123141611,アリナミン７１００ｍｌ,1,1,96,74,-22,-29.73,1140,アリナミン製薬
0,8,0,,1,1,1,1,医薬品／ドリンク／医薬部外品／１本売り,4987123700955,アリナミンゼロ７　１００ｍｌ,2,2,200,296,96,32.43,1140,アリナミン製薬
0,9,0,,1,1,1,1,医薬品／ドリンク／医薬部外品／１本売り,4987300507902,エスカップ　１００ｍｌ,6,6,390,592,202,34.12,790,エスエス製薬
0,10,0,,1,1,1,1,医薬品／ドリンク／医薬部外品／１本売り,4987300520604,エスカップＮＥＸＴ　１００ｍｌ,1,1,65,74,9,12.16,790,エスエス製薬
0,11,0,,1,1,1,1,医薬品／ドリンク／医薬部外品／１本売り,4987306003477,リポビタンＤ１００ｍｌ,15,21,1995,3108,1113,35.81,770,大正製薬
0,12,0,,1,1,1,1,医薬品／ドリンク／医薬部外品／１本売り,4987306008106,リポビタンＤスーパー　１００ｍｌ　,2,3,450,744,294,39.52,770,大正製薬
0,13,0,,1,1,1,1,医薬品／ドリンク／医薬部外品／１本売り,4987306021839,リポビタンＤハイパー　１００ｍＬ,1,1,210,358,148,41.34,770,大正製薬
0,14,0,,1,1,1,1,医薬品／ドリンク／医薬部外品／１本売り,4987910710471,アリナミンメディカルバランス　１００ｍｌ,5,8,1168,1584,416,26.26,1140,アリナミン製薬
0,15,0,,1,1,1,2,医薬品／ドリンク／医薬部外品／複数パック,4987067240500,キューピーコーワαドリンク１００ｍＬ×３本,2,2,480,876,396,45.21,1090,興和
0,16,0,,1,1,1,2,医薬品／ドリンク／医薬部外品／複数パック,4987067255504,キューピーコーワｉドリンク　１００ｍＬ×３本,2,2,480,876,396,45.21,1090,興和
0,17,0,,1,1,1,2,医薬品／ドリンク／医薬部外品／複数パック,4987067285709,キューピーコーワαＺＥＲＯドリンク　１００ｍＬ×３,1,1,240,438,198,45.21,1090,興和
0,18,0,,1,1,1,2,医薬品／ドリンク／医薬部外品／複数パック,4987117438956,チオビタドリンク　２本パック,6,6,660,1188,528,44.44,950,大鵬薬品工業
0,19,0,,1,1,1,2,医薬品／ドリンク／医薬部外品／複数パック,4987123138581,アリナミンＶドリンク　３本パック,1,1,496,748,252,33.69,1140,アリナミン製薬
0,20,0,,1,1,1,2,医薬品／ドリンク／医薬部外品／複数パック,4987123144292,アリナミンＶ＆Ｖ　ＮＥＷ　　　５０ｍｌＸ２,2,2,878,1596,718,44.99,1140,アリナミン製薬
0,21,0,,1,1,1,2,医薬品／ドリンク／医薬部外品／複数パック,4987123701754,アリナミンＲオフ　５０ｍｌ×３本,4,5,1950,1495,-455,-30.43,1140,アリナミン製薬
0,22,0,,1,1,1,2,医薬品／ドリンク／医薬部外品／複数パック,4987306007352,リポビタンＤ　１００ｍｌ×３本,3,3,855,1314,459,34.93,770,大正製薬
0,23,0,,1,1,1,2,医薬品／ドリンク／医薬部外品／複数パック,4987306021433,リポビタンＺＥＲＯ　１００ｍＬ×３本,2,2,570,876,306,34.93,770,大正製薬
0,24,0,,1,1,1,3,医薬品／ドリンク／医薬部外品／１０本,2011010620094,リポビタンＤ１００ｍｌ×１０本×２個,2,2,3800,3792,-8,-0.21,770,大正製薬
0,25,0,,1,1,1,3,医薬品／ドリンク／医薬部外品／１０本,4987067243907,キューピーコーワαドリンク　１００ｍＬ×１０本,6,6,4800,5880,1080,18.37,1090,興和
0,26,0,,1,1,1,3,医薬品／ドリンク／医薬部外品／１０本,4987067255603,キューピーコーワｉドリンク　１００ｍＬ×１０本,2,2,1600,1960,360,18.37,1090,興和
0,27,0,,1,1,1,3,医薬品／ドリンク／医薬部外品／１０本,4987117438741,チオビタ１０本,16,21,11550,12138,588,4.84,950,大鵬薬品工業
0,28,0,,1,1,1,3,医薬品／ドリンク／医薬部外品／１０本,4987123700962,アリナミンゼロ７　１００ｍｌ×１０本,1,1,1000,1198,198,16.53,1140,アリナミン製薬
0,29,0,,1,1,1,3,医薬品／ドリンク／医薬部外品／１０本,4987300507919,エスカップ１０本,5,5,3250,3340,90,2.69,790,エスエス製薬
0,30,0,,1,1,1,3,医薬品／ドリンク／医薬部外品／１０本,4987306003491,リポビタンＤ１００ｍｌ×１０本,21,21,19950,19608,-342,-1.74,770,大正製薬
0,31,0,,1,1,1,3,医薬品／ドリンク／医薬部外品／１０本,4987306021419,リポビタンＺＥＲＯ　１００ｍＬ×１０本,1,1,950,1380,430,31.16,770,大正製薬
0,32,0,,1,1,1,3,医薬品／ドリンク／医薬部外品／１０本,4987347203744,ビタラガα１５００　１００ｍｌ×１０,1,1,310,199,-111,-55.78,425,金陽製薬
0,33,0,,1,1,1,4,医薬品／ドリンク／医薬部外品／ケース,4987067244607,キューピーコーワαドリンク　１００ｍＬ×５０本,1,5,20000,24900,4900,19.68,1090,興和
0,34,0,,1,1,1,4,医薬品／ドリンク／医薬部外品／ケース,4987306003507,リポビタンＤ１００ｍｌケ－ス５０本入り,3,4,19000,18530,-470,-2.54,770,大正製薬
0,35,0,,1,1,2,1,医薬品／ドリンク／ドリンク（１００ｍｌ）／１本売り,4954097858159,ビタセットα　１００ｍｌ,3,4,111,392,281,71.68,505,廣貫堂
