G,NO,ì˙ït,ìXï‹,ìXï‹ñº,ãqêî,ì_êî,ì‡ê≈ïWèÄ,ì‡ê≈åyå∏,äOê≈ïWèÄ,äOê≈åyå∏,ê≈çáåv,ê≈î≤îÑè„,ê≈î≤îÑè„(èÉäz),ê≈çûîÑè„,îÉè„ì_êî,ãqíPâø,ì_íPâø,POSëeóò,POSëeóòó¶%,ëeóòó¶%(èÉäz),é¿ëeóò,é¿ëeóòó¶%,ÉçÉXäz,ÉçÉXó¶%,ÉçÉXó¶ÅiíIâµÅj,ÉçÉXó¶Åiîpä¸Åj,óàìXâÔàıêî,ëçî≠çsŒﬂ≤›ƒ,œ≤ ﬁØ∏ﬁãqêî,œ≤ ﬁØ∏ﬁŒﬂ≤›ƒ,Ãﬂ⁄ ﬂΩãqêî,Ãﬂ⁄ ﬂΩŒﬂ≤›ƒ,äîéÂãqêî,äîéÂã‡äz(ê≈çûÇ›),äîéÂílà¯(ê≈çûÇ›),⁄ºﬁë‹(ê≈çûÇ›),Ç®îÉï®äÑà¯åîî≠çsã‡äz,Ç®îÉï®äÑà¯åîégópã‡äz,500â~åîî≠çsã‡äz,500â~åîégópã‡äz,í«â¡500â~åîî≠çsã‡äz,í«â¡500â~åîégópã‡äz,dŒﬂ≤›ƒïtó^é“êî,dŒﬂ≤›ƒïtó^Œﬂ≤›ƒëçêî,dŒﬂ≤›ƒóòópé“êî,dŒﬂ≤›ƒóòópŒﬂ≤›ƒëçêî,Aoca¡¨∞ºﬁPïtó^âÒêî,Aoca¡¨∞ºﬁPïtó^Œﬂ≤›ƒêî
3,1,,0,ÅüÅüÅüëççáåv,11229,90350,67740,0,1235904,705668,2009312,21955429,21955429,23964741,8.05,1955.24,243,4857680,22.1,22.1,4669776,21.3,187904,0.9,-0.1,0.9,8158,483241,1271,1271,0,0,12,378701,19926,0,0,0,494500,551500,143500,143500,662,10724,60,68666,2832,34431
0,2,2020/06/21,471,ñLèZí¨,469,3950,2581,0,62232,29855,94668,1025606,1025606,1120274,8.42,2186.79,259.65,236742,23.1,23.1,234230,22.8,2512,0.2,0,0.2,371,41471,185,185,0,0,0,0,0,0,0,0,40500,23000,6000,6000,25,382,2,1822,143,1794
0,3,2020/06/22,471,ñLèZí¨,302,2236,1570,0,25130,19249,45949,510212,510212,556161,7.4,1689.44,228.18,118625,23.3,23.3,111688,21.9,6937,1.4,0,1.4,226,4416,98,98,0,0,0,0,0,0,0,0,3000,8500,1500,1500,29,387,3,3598,73,754
0,4,2020/06/23,471,ñLèZí¨,301,2297,1426,0,26953,17910,46289,510261,510261,556550,7.63,1695.22,222.14,118593,23.2,23.2,114413,22.4,4180,0.8,0,0.8,216,3818,101,101,0,0,0,0,0,0,0,0,3500,14500,3500,3500,23,407,0,0,71,757
0,5,2020/06/24,471,ñLèZí¨,470,3938,3692,0,57395,31230,92317,1005272,1005272,1097589,8.38,2138.88,255.27,206688,20.6,20.6,204602,20.4,2086,0.2,0,0.2,360,39874,183,183,0,0,0,0,0,0,0,0,44000,14000,4000,4000,28,459,2,4157,140,1892
0,6,2020/06/25,471,ñLèZí¨,304,2430,1103,0,29336,18487,48926,538117,538117,587043,7.99,1770.12,221.45,120541,22.4,22.4,117073,21.8,3468,0.6,0,0.6,223,4330,98,98,0,0,0,0,0,0,0,0,3500,12500,2500,2500,25,462,2,1180,74,752
0,7,2020/06/26,471,ñLèZí¨,299,2032,1638,0,30264,15790,47692,519042,519042,566734,6.8,1735.93,255.43,122931,23.7,23.7,115554,22.3,7377,1.4,0,1.4,217,4476,98,98,0,0,0,0,0,0,0,0,5500,16000,4500,4500,10,276,2,246,71,701
0,8,2020/06/27,471,ñLèZí¨,337,2550,1686,0,31195,19700,52581,577980,577980,630561,7.57,1715.07,226.66,128479,22.2,22.2,116189,20.1,12290,2.1,0,2.1,240,4420,108,108,0,0,0,0,0,0,0,0,4500,12000,2500,2500,14,211,0,0,83,912
0,9,2020/06/28,471,ñLèZí¨,475,4136,3439,0,66066,38063,107568,1174999,1174999,1282567,8.71,2473.68,284.09,239129,20.4,20.4,235141,20,3988,0.3,0,0.3,360,47602,179,179,0,0,1,81077,4267,0,0,0,48000,22000,6000,6000,23,452,2,772,137,2292
0,10,2020/06/29,471,ñLèZí¨,325,2495,3316,0,34267,18774,56357,613354,613354,669711,7.68,1887.24,245.83,140376,22.9,22.9,136015,22.2,4361,0.7,0,0.7,222,5484,99,99,0,0,0,0,0,0,0,0,8000,14000,3000,3000,20,233,3,972,73,781
